     #time         x         v
   81.2550   -0.4086    0.8995
   81.5426   -0.1367    0.9783
   81.7953    0.1122    0.9814
   82.0479    0.3540    0.9221
   82.3006    0.5733    0.8042
   82.5533    0.7561    0.6353
   82.8261    0.8993    0.4081
   83.1136    0.9781    0.1363
   83.3663    0.9811   -0.1126
   83.6190    0.9218   -0.3543
   83.8716    0.8040   -0.5734
   84.1243    0.6351   -0.7562
   84.3971    0.4079   -0.8992
   84.6846    0.1362   -0.9779
   84.9373   -0.1126   -0.9808
   85.1900   -0.3543   -0.9215
   85.4427   -0.5734   -0.8036
   85.6953   -0.7560   -0.6347
   85.9681   -0.8991   -0.4075
   86.2557   -0.9777   -0.1357
   86.5084   -0.9806    0.1130
   86.7610   -0.9212    0.3545
   87.0137   -0.8033    0.5735
   87.2664   -0.6345    0.7561
   87.5392   -0.4073    0.8990
   87.8267   -0.1356    0.9775
   88.0794    0.1131    0.9803
   88.3321    0.3546    0.9209
   88.5848    0.5735    0.8029
   88.8374    0.7560    0.6340
   89.1103    0.8989    0.4068
   89.3978    0.9773    0.1352
   89.6505    0.9801   -0.1135
   89.9031    0.9206   -0.3548
   90.1558    0.8027   -0.5737
   90.4170    0.6273   -0.7615
   90.6900    0.3988   -0.9023
   90.9769    0.1272   -0.9782
   91.2293   -0.1211   -0.9789
   91.4817   -0.3617   -0.9176
   91.7341   -0.5794   -0.7981
   91.9956   -0.7660   -0.6211
   92.2689   -0.9053   -0.3912
   92.5552   -0.9789   -0.1196
   92.8073   -0.9778    0.1284
   93.0595   -0.9148    0.3682
   93.3116   -0.7941    0.5847
   93.5734   -0.6157    0.7703
   93.8472   -0.3845    0.9080
   94.1329   -0.1130    0.9795
   94.3848    0.1347    0.9766
   94.6367    0.3738    0.9122
   94.8886    0.5894    0.7902
   95.1507    0.7740    0.6104
   95.4247    0.9103    0.3781
   95.7100    0.9799    0.1066
   95.9617    0.9756   -0.1407
   96.2133    0.9098   -0.3792
   96.4650    0.7868   -0.5938
   96.7273    0.6058   -0.7775
   97.0017    0.3726   -0.9124
   97.2866    0.1011   -0.9803
   97.5380   -0.1460   -0.9746
   97.7895   -0.3838   -0.9075
   98.0409   -0.5976   -0.7834
   98.3035   -0.7804   -0.6014
   98.5781   -0.9143   -0.3672
   98.8626   -0.9806   -0.0958
   99.1139   -0.9736    0.1510
   99.3651   -0.9055    0.3883
   99.6164   -0.7805    0.6012
   99.8792   -0.5975    0.7833
  100.1541   -0.3625    0.9160
  100.4290   -0.1003    0.9799
  100.7038    0.1694    0.9703
  100.9787    0.4264    0.8878
  101.2536    0.6514    0.7386
  101.5285    0.8274    0.5340
  101.8034    0.9413    0.2894
  102.0782    0.9845    0.0230
  102.3531    0.9538   -0.2451
  102.6280    0.8515   -0.4947
  102.9029    0.6852   -0.7072
  103.1777    0.4675   -0.8666
  103.4526    0.2148   -0.9609
  103.7275   -0.0541   -0.9830
  104.0024   -0.3189   -0.9314
  104.2773   -0.5597   -0.8098
  104.5521   -0.7585   -0.6274
  104.8270   -0.9003   -0.3979
  105.1142   -0.9761   -0.1266
  105.3665   -0.9768    0.1211
  105.6189   -0.9157    0.3611
  105.8712   -0.7965    0.5783
  106.1328   -0.6198    0.7646
  106.4063   -0.3904    0.9035
  106.6926   -0.1193    0.9768
  106.9448    0.1282    0.9756
  107.1970    0.3676    0.9127
  107.4492    0.5838    0.7920
  107.7112    0.7689    0.6138
  107.9850    0.9062    0.3830
  108.2707    0.9774    0.1120
  108.5227    0.9745   -0.1352
  108.7746    0.9100   -0.3739
  109.0266    0.7881   -0.5889
  109.2888    0.6085   -0.7730
  109.5629    0.3765   -0.9088
  109.8482    0.1055   -0.9780
  110.0999   -0.1414   -0.9734
  110.3516   -0.3793   -0.9074
  110.6034   -0.5933   -0.7843
  110.8658   -0.7765   -0.6034
  111.1403   -0.9110   -0.3703
  111.4252   -0.9783   -0.0994
  111.6766   -0.9723    0.1472
  111.9281   -0.9051    0.3845
  112.1796   -0.7809    0.5976
  112.4423   -0.5990    0.7798
  112.7171   -0.3649    0.9130
  113.0016   -0.0940    0.9787
  113.2528    0.1523    0.9712
  113.5041    0.3890    0.9028
  113.7554    0.6012    0.7777
  114.0183    0.7827    0.5946
  114.2934    0.9148    0.3597
  114.5684    0.9780    0.0977
  114.8435    0.9678   -0.1716
  115.1185    0.8848   -0.4280
  115.3935    0.7354   -0.6521
  115.6686    0.5306   -0.8273
  115.9436    0.2860   -0.9402
  116.2186    0.0199   -0.9825
  116.4937   -0.2476   -0.9509
  116.7687   -0.4966   -0.8478
  117.0437   -0.7081   -0.6810
  117.3188   -0.8665   -0.4631
  117.5938   -0.9597   -0.2103
  117.8688   -0.9807    0.0582
  118.1439   -0.9281    0.3223
  118.4189   -0.8056    0.5622
  118.6939   -0.6227    0.7598
  118.9690   -0.3929    0.9003
  119.2559   -0.1221    0.9746
  119.5081    0.1250    0.9742
  119.7604    0.3642    0.9121
  120.0127    0.5804    0.7922
  120.2746    0.7657    0.6149
  120.5483    0.9034    0.3850
  120.8343    0.9753    0.1144
  121.0865    0.9730   -0.1325
  121.3386    0.9092   -0.3710
  121.5907    0.7879   -0.5860
  121.8529    0.6091   -0.7702
  122.1270    0.3779   -0.9062
  122.4125    0.1074   -0.9759
  122.6644   -0.1392   -0.9718
  122.9162   -0.3770   -0.9064
  123.1681   -0.5909   -0.7838
  123.4306   -0.7741   -0.6035
  123.7050   -0.9086   -0.3711
  123.9900   -0.9763   -0.1006
  124.2416   -0.9707    0.1456
  124.4933   -0.9038    0.3827
  124.7449   -0.7801    0.5956
  125.0076   -0.5987    0.7777
  125.2824   -0.3652    0.9109
  125.5670   -0.0947    0.9767
  125.8184    0.1512    0.9695
  126.0698    0.3876    0.9014
  126.3212    0.5996    0.7766
  126.5842    0.7809    0.5939
  126.8592    0.9128    0.3595
  127.1343    0.9761    0.0980
  127.4093    0.9661   -0.1708
  127.6844    0.8834   -0.4268
  127.9595    0.7343   -0.6506
  128.2345    0.5300   -0.8255
  128.5096    0.2858   -0.9383
  128.7846    0.0202   -0.9806
  129.0597   -0.2469   -0.9492
  129.3348   -0.4954   -0.8464
  129.6098   -0.7066   -0.6799
  129.8849   -0.8647   -0.4624
  130.1600   -0.9578   -0.2101
  130.4350   -0.9789    0.0579
  130.7101   -0.9264    0.3216
  130.9851   -0.8042    0.5611
  131.2602   -0.6216    0.7583
  131.5353   -0.3923    0.8986
  131.8222   -0.1219    0.9728
  132.0746    0.1249    0.9723
  132.3269    0.3637    0.9103
  132.5793    0.5794    0.7906
  132.8412    0.7644    0.6135
  133.1150    0.9018    0.3840
  133.4011    0.9735    0.1138
  133.6533    0.9711   -0.1327
  133.9055    0.9073   -0.3708
  134.1577    0.7861   -0.5854
  134.4199    0.6074   -0.7691
  134.6941    0.3765   -0.9048
  134.9797    0.1064   -0.9741
  135.2316   -0.1397   -0.9698
  135.4835   -0.3771   -0.9043
  135.7354   -0.5906   -0.7817
  135.9979   -0.7732   -0.6016
  136.2725   -0.9074   -0.3694
  136.5575   -0.9746   -0.0994
  136.8092   -0.9687    0.1464
  137.0608   -0.9017    0.3830
  137.3125   -0.7779    0.5954
  137.5753   -0.5965    0.7771
  137.8502   -0.3632    0.9097
  138.1348   -0.0932    0.9750
  138.3862    0.1523    0.9675
  138.6376    0.3882    0.8991
  138.8890    0.5997    0.7742
  139.1521    0.7804    0.5915
  139.4273    0.9117    0.3572
  139.7025    0.9745    0.0960
  139.9777    0.9639   -0.1725
  140.2529    0.8808   -0.4279
  140.5281    0.7314   -0.6511
  140.8033    0.5269   -0.8252
  141.0785    0.2829   -0.9373
  141.3537    0.0175   -0.9788
  141.6289   -0.2491   -0.9467
  141.9041   -0.4970   -0.8433
  142.1793   -0.7074   -0.6764
  142.4545   -0.8646   -0.4587
  142.7297   -0.9567   -0.2065
  143.0049   -0.9768    0.0613
  143.2801   -0.9234    0.3244
  143.5553   -0.8005    0.5631
  143.8305   -0.6174    0.7594
  144.1057   -0.3878    0.8985
  144.3925   -0.1179    0.9714
  144.6448    0.1283    0.9700
  144.8971    0.3664    0.9072
  145.1494    0.5813    0.7870
  145.4115    0.7653    0.6094
  145.6855    0.9017    0.3795
  145.9714    0.9721    0.1098
  146.2235    0.9688   -0.1362
  146.4756    0.9042   -0.3735
  146.7278    0.7824   -0.5872
  146.9902    0.6033   -0.7701
  147.2647    0.3720   -0.9047
  147.5500    0.1023   -0.9727
  147.8018   -0.1433   -0.9675
  148.0537   -0.3798   -0.9012
  148.3055   -0.5924   -0.7780
  148.5683   -0.7741   -0.5974
  148.8431   -0.9072   -0.3649
  149.1279   -0.9732   -0.0953
  149.3795   -0.9662    0.1500
  149.6311   -0.8985    0.3858
  149.8826   -0.7742    0.5973
  150.1457   -0.5922    0.7780
  150.4209   -0.3586    0.9096
  150.6960   -0.0980    0.9727
  150.9712    0.1700    0.9626
  151.2463    0.4251    0.8802
  151.5215    0.6482    0.7315
  151.7966    0.8226    0.5278
  152.0718    0.9351    0.2844
  152.3469    0.9772    0.0197
  152.6221    0.9457   -0.2465
  152.8972    0.8432   -0.4942
  153.1724    0.6772   -0.7046
  153.4476    0.4603   -0.8621
  153.7227    0.2088   -0.9546
  153.9979   -0.0584   -0.9754
  154.2730   -0.3212   -0.9227
  154.5482   -0.5598   -0.8007
  154.8233   -0.7563   -0.6184
  155.0985   -0.8959   -0.3896
  155.3854   -0.9695   -0.1201
  155.6379   -0.9687    0.1259
  155.8904   -0.9066    0.3639
